ROW_ID,ICD9_CODE,SHORT_TITLE,LONG_TITLE
11239,81402,"Fx lunate, wrist-closed",Closed fracture of lunate [semilunar] bone of wrist
5886,58189,Nephrotic syndrome NEC,Nephrotic syndrome with other specified pathological lesion in kidney
11493,81513,Fx metacarpal shaft-open,Open fracture of shaft of metacarpal bone(s)
13838,73008,Ac osteomyelitis NEC,"Acute osteomyelitis, other specified sites"
5952,5259,Dental disorder NOS,Unspecified disorder of the teeth and supporting structures
8127,70721,"Pressure ulcer, stage I","Pressure ulcer, stage I"
3251,29382,Psy dis w halluc oth dis,Psychotic disorder with hallucinations in conditions classified elsewhere
2455,2163,Benign neo skin face NEC,Benign neoplasm of skin of other and unspecified parts of face
11633,99674,Comp-oth vasc dev/graft,"Other complications due to other vascular device, implant, and graft"
9834,E8851,Fall from roller skates,Fall from roller skates
11126,92310,Contusion of forearm,Contusion of forearm
3830,3573,Neuropathy in malig dis,Polyneuropathy in malignant disease
5306,52101,Dental caries - enamel,Dental caries limited to enamel
1781,24210,Tox uninod goit no cris,Toxic uninodular goiter without mention of thyrotoxic crisis or storm
8648,71593,Osteoarthros NOS-forearm,"Osteoarthrosis, unspecified whether generalized or localized, forearm"
14164,E9800,Undeterm pois-analgesics,"Poisoning by analgesics, antipyretics, and antirheumatics, undetermined whether accidentally or purposely inflicted"
6095,53501,Acute gastritis w hmrhg,"Acute gastritis, with hemorrhage"
11297,9033,Injury ulnar vessels,Injury to ulnar blood vessels
10108,V1641,Fm hx ovary malignancy,Family history of malignant neoplasm of ovary
9706,67153,Thrombosis NEC-antepart,"Other phlebitis and thrombosis complicating pregnancy and the puerperium, antepartum condition or complication"
3355,3336,Genetic torsion dystonia,Genetic torsion dystonia
5470,47811,Nasal mucositis (ulcer),Nasal mucositis (ulcerative)
8580,8600,Traum pneumothorax-close,Traumatic pneumothorax without mention of open wound into thorax
13275,80608,C5-c7 fx-cl/cen cord syn,Closed fracture of C5-C7 level with central cord syndrome
9429,81000,Fx clavicle NOS-closed,"Closed fracture of clavicle, unspecified part"
12629,E9328,Adv eff antithyroid agnt,Antithyroid agents causing adverse effects in therapeutic use
5915,5859,Chronic kidney dis NOS,"Chronic kidney disease, unspecified"
7367,7480,Choanal atresia,Choanal atresia
13431,E8792,Abn react-radiotherapy,"Radiological procedure and radiotherapy as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at time of procedure"
13256,78830,Urinary incontinence NOS,"Urinary incontinence, unspecified"
10314,81252,"Fx humer, lat condyl-opn",Open fracture of lateral condyle of humerus
4304,4019,Hypertension NOS,Unspecified essential hypertension
6897,82001,Fx up femur epiphy-clos,Closed fracture of epiphysis (separation) (upper) of neck of femur
2103,20021,Burkitt's tumor head,"Burkitt's tumor or lymphoma, lymph nodes of head, face, and neck"
80,845,Int inf clstrdium dfcile,Intestinal infection due to Clostridium difficile
4980,56882,Peritoneal effusion,Peritoneal effusion (chronic)
7487,69010,Sebrrheic dermatitis NOS,"Seborrheic dermatitis, unspecified"
5752,6256,Fem stress incontinence,"Stress incontinence, female"
13920,V1089,Hx of malignancy NEC,Personal history of malignant neoplasm of other sites
8546,8020,Nasal bone fx-closed,Closed fracture of nasal bones
14149,71985,Joint dis NEC-pelvis,"Other specified disorders of joint, pelvic region and thigh"
8188,75557,Macrodactylia (fingers),Macrodactylia (fingers)
12964,72740,Synovial cyst NOS,"Synovial cyst, unspecified"
3121,32725,Cong cntrl hypovent synd,Congenital central alveolar hypoventilation syndrome
10121,V172,Fam hx-neurolog dis NEC,Family history of other neurological diseases
3179,2882,Genetic anomaly leukocyt,Genetic anomalies of leukocytes
2804,34889,Brain conditions NEC,Other conditions of brain
7761,7018,Skin hypertro/atroph NEC,Other specified hypertrophic and atrophic conditions of skin
5294,5199,Resp system disease NOS,Unspecified disease of respiratory system
14323,E8171,Mv acc board/alight-psgr,Noncollision motor vehicle traffic accident while boarding or alighting injuring passenger in motor vehicle other than motorcycle
1318,1618,Malignant neo larynx NEC,Malignant neoplasm of other specified sites of larynx
8292,80114,Cl skl base fx-prol coma,"Closed fracture of base of skull with cerebral laceration and contusion, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level"
3173,28801,Congenital neutropenia,Congenital neutropenia
2664,3017,Antisocial personality,Antisocial personality disorder
5926,59000,Chr pyelonephritis NOS,Chronic pyelonephritis without lesion of renal medullary necrosis
8496,76494,Fet grwth ret 1000-1249g,"Fetal growth retardation, unspecified, 1,000-1,249 grams"
6036,53170,Chr stomach ulcer NOS,"Chronic gastric ulcer without mention of hemorrhage or perforation, without mention of obstruction"
3620,3319,Cereb degeneration NOS,"Cerebral degeneration, unspecified"
8834,85309,Brain hem NEC-concussion,"Other and unspecified intracranial hemorrhage following injury without mention of open intracranial wound, with concussion, unspecified"
7709,83311,Disloc dist radiouln-opn,"Open dislocation of radioulnar (joint), distal"
3130,2839,Acq hemolytic anemia NOS,"Acquired hemolytic anemia, unspecified"
11429,99652,Oth tissue graft malfunc,"Mechanical complication due to graft of other tissue, not elsewhere classified"
11659,E9222,Hunting rifle accident,Accident caused by hunting rifle
2977,3082,"Stress react, psychomot",Predominant psychomotor disturbance
3618,33183,Mild cognitive impairemt,"Mild cognitive impairment, so stated"
1329,1638,Malig neopl pleura NEC,Malignant neoplasm of other specified sites of pleura
7918,7620,Placenta previa aff NB,Placenta previa affecting fetus or newborn
12586,E8706,Acc cut/hem w heart cath,"Accidental cut, puncture, perforation or hemorrhage during heart catheterization"
5055,4351,Vertebral artery syndrom,Vertebral artery syndrome
9994,73313,Path fx vertebrae,Pathologic fracture of vertebrae
10724,E9060,Dog bite,Dog bite
3119,32723,Obstructive sleep apnea,Obstructive sleep apnea (adult)(pediatric)
12471,88012,Open wound axilla-compl,"Open wound of axillary region, complicated"
13730,E9419,Adv eff autonom agnt NOS,Unspecified drug primarily affecting the autonomic nervous system causing adverse effects in therapeutic use
10119,V170,Fam hx-psychiatric cond,Family history of psychiatric condition
3807,3548,Mononeuritis arm NEC,Other mononeuritis of upper limb
12407,78461,Alexia and dyslexia,Alexia and dyslexia
9997,73316,Path fx tibia fibula,Pathologic fracture of tibia or fibula
9511,9579,Injury to nerve NOS,"Injury to nerves, unspecified site"
7737,6961,Other psoriasis,Other psoriasis
14296,94536,3rd deg burn thigh,Full-thickness skin loss [third degree NOS] of thigh [any part]
11228,81354,Fx low radius w ulna-opn,Open fracture of lower end of radius with ulna
12125,7825,Cyanosis,Cyanosis
13084,V1020,Hx-resp org malignan NOS,"Personal history of malignant neoplasm of respiratory organ, unspecified"
5973,5277,Salivary secretion dis,Disturbance of salivary secretion
6156,55093,Recur bilat inguin hern,"Inguinal hernia, without mention of obstruction or gangrene, bilateral, recurrent"
4458,4269,Conduction disorder NOS,"Conduction disorder, unspecified"
14339,E8187,Mv traff acc NEC-pedest,Other noncollision motor vehicle traffic accident injuring pedestrian
5446,4730,Chr maxillary sinusitis,Chronic maxillary sinusitis
8022,80050,Opn skull vault fracture,"Open fracture of vault of skull without mention of intracranial injury, unspecified state of consciousness"
1858,20278,Periph T cell lym multip,"Peripheral T cell lymphoma, lymph nodes of multiple sites"
7328,7464,Cong aorta valv insuffic,Congenital insufficiency of aortic valve
381,8882,Babesiosis,Babesiosis
6336,5942,Urethral calculus,Calculus in urethra
3506,38039,Noninfect dis pinna NEC,Other noninfectious disorders of pinna
2227,2818,Nutritional anemia NEC,Anemia associated with other specified nutritional deficiency
11387,92710,Crushing injury forearm,Crushing injury of forearm
10237,86513,Spleen parnchym lac-opn,"Injury to spleen with open wound into cavity, laceration extending into parenchyma"
8605,71430,Juv rheum arthritis NOS,"Polyarticular juvenile rheumatoid arthritis, chronic or unspecified"
11739,E9670,Abuse by fther/stpfth/bf,"Perpetrator of child and adult abuse, by father, stepfather, or boyfriend"
258,51,Botulism food poisoning,Botulism food poisoning
8374,71697,Arthropathy NOS-ankle,"Arthropathy, unspecified, ankle and foot"
12418,80476,Opn skul/oth fx-coma NOS,"Open fractures involving skull or face with other bones with subarachnoid, subdural, and extradural hemorrhage, with loss of consciousness of unspecified duration"
4211,4409,Atherosclerosis NOS,Generalized and unspecified atherosclerosis
4177,36811,Sudden visual loss,Sudden visual loss
12014,V5410,Aftrcre traum fx arm NOS,"Aftercare for healing traumatic fracture of arm, unspecified"
7195,75450,Talipes varus,Talipes varus
1191,1501,Mal neo thoracic esophag,Malignant neoplasm of thoracic esophagus
12372,9975,Surg compl-urinary tract,"Urinary complications, not elsewhere classified"
8400,71195,Inf arthrit NOS-pelvis,"Unspecified infective arthritis, pelvic region and thigh"
4281,4481,"Nevus, non-neoplastic","Nevus, non-neoplastic"
4508,43301,Ocl bslr art w infrct,Occlusion and stenosis of basilar artery with cerebral infarction
2171,27739,Amyloidosis NEC,Other amyloidosis
12879,66561,Damage to pelvic jt-del,"Damage to pelvic joints and ligaments, delivered, with or without mention of antepartum condition"
1669,2698,Nutrition deficiency NEC,Other nutritional deficiency
9298,86393,"Pancreas, tail inj-open","Injury to pancreas, tail, with open wound into cavity"
11787,87261,Open wound of ear drum,"Open wound of ear drum, without mention of complication"
13729,E9413,Adv eff sympatholytics,Sympatholytics [antiadrenergics] causing adverse effects in therapeutic use
7459,8249,Fx ankle NOS-open,"Unspecified fracture of ankle, open"
6369,59789,Urethritis NEC,Other urethritis
3633,36846,Homonymous hemianopsia,Homonymous bilateral field defects
8467,76405,Lt-for-dates 1250-1499g,"""Light-for-dates""without mention of fetal malnutrition, 1,250- 1,499 grams"
5758,6260,Absence of menstruation,Absence of menstruation
11628,99669,React-int pros devic NEC,"Infection and inflammatory reaction due to other internal prosthetic device, implant, and graft"
3777,37200,Acute conjunctivitis NOS,"Acute conjunctivitis, unspecified"
5157,51284,Other air leak,Other air leak
6529,63590,Legal abort uncompl-unsp,"Legally induced abortion, without mention of complication, unspecified"
8508,76506,Extreme immat 1500-1749g,"Extreme immaturity, 1,500-1,749 grams"
4261,44629,Hypersensit angiitis NEC,Other specified hypersensitivity angiitis
14247,8742,Open wound thyroid gland,"Open wound of thyroid gland, without mention of complication"
10889,73710,Kyphosis NOS,Kyphosis (acquired) (postural)
4747,37530,Dacryocystitis NOS,"Dacryocystitis, unspecified"
3873,36019,Endophthalmitis NEC,Other endophthalmitis
12738,E8219,Oth off-road mv-pers NOS,Nontraffic accident involving other off-road motor vehicle injuring unspecified person
4085,36510,Open-angle glaucoma NOS,"Open-angle glaucoma, unspecified"
4505,4321,Subdural hemorrhage,Subdural hemorrhage
2016,1905,Malign neopl retina,Malignant neoplasm of retina
1956,1765,Lym nds - kpsi's sarcoma,"Kaposi's sarcoma, lymph nodes"
4194,43884,Ataxia,"Other late effects of cerebrovascular disease, ataxia"
3822,3562,Hered sensory neuropathy,Hereditary sensory neuropathy
6192,6079,Disorder of penis NOS,Unspecified disorder of penis
10918,7386,Acq pelvic deformity,Acquired deformity of pelvis
1179,1479,Mal neo nasopharynx NOS,"Malignant neoplasm of nasopharynx, unspecified site"
4031,36362,Expulsive choroid hemorr,Expulsive choroidal hemorrhage
8898,71926,Villonod synovit-l/leg,"Villonodular synovitis, lower leg"
12460,8796,Open wound of trunk NEC,"Open wound of other and unspecified parts of trunk, without mention of complication"
8195,75564,Cong knee deformity,Congenital deformity of knee (joint)
12590,E8710,Post-surgical forgn body,Foreign object left in body during surgical operation
5764,6266,Metrorrhagia,Metrorrhagia
12098,72290,Disc dis NEC/NOS-unspec,"Other and unspecified disc disorder, unspecified region"
8513,76511,Preterm NEC <500g,"Other preterm infants, less than 500 grams"
5483,47834,Vocal paral bilat total,"Bilateral paralysis of vocal cords or larynx, complete"
6168,55200,Unil femoral hern w obst,"Femoral hernia with obstruction, unilateral or unspecified (not specified as recurrent)"
2277,25092,DMII unspf uncntrld,"Diabetes with unspecified complication, type II or unspecified type, uncontrolled"
10944,79415,Abn auditory funct study,Nonspecific abnormal auditory function studies
9974,7313,Major osseous defects,Major osseous defects
10936,79401,Abnorm echoencephalogram,Nonspecific abnormal echoencephalogram
6664,64251,Severe preeclamp-deliver,"Severe pre-eclampsia, delivered, with or without mention of antepartum condition"
2309,25510,Hyperaldosteronism NOS,"Hyperaldosteronism, unspecified"
8432,71237,Chondrocalcin NOS-ankle,"Chondrocalcinosis, unspecified, ankle and foot"
8430,71235,Chondrocalcin NOS-pelvis,"Chondrocalcinosis, unspecified, pelvic region and thigh"
8556,80228,Fx mandible body NEC-cl,"Closed fracture of mandible, body, other and unspecified"
2973,30789,Psychogenic pain NEC,Other pain disorders related to psychological factors
5005,56987,Vomiting of fecal matter,Vomiting of fecal matter
5587,56031,Gallstone ileus,Gallstone ileus
7436,82321,Fx shaft fibula-closed,Closed fracture of shaft of fibula alone
5295,5200,Anodontia,Anodontia
10901,73734,Thoracogenic scoliosis,Thoracogenic scoliosis
4381,41410,Aneurysm of heart,Aneurysm of heart (wall)
8547,8021,Nasal bone fx-open,Open fracture of nasal bones
8007,85190,Brain lac NEC w open wnd,"Other and unspecified cerebral laceration and contusion, with open intracranial wound, unspecified state of consciousness"
9378,78960,Abdmnal tndr unspcf site,"Abdominal tenderness, unspecified site"
8879,71907,Joint effusion-ankle,"Effusion of joint, ankle and foot"
8147,7093,Degenerative skin disord,Degenerative skin disorders
5916,586,Renal failure NOS,"Renal failure, unspecified"
2640,30029,Isolated/spec phobia NEC,Other isolated or specific phobias
6431,64761,Oth viral dis-delivered,"Other viral diseases in the mother, delivered, with or without mention of antepartum condition"
3468,34400,"Quadriplegia, unspecifd","Quadriplegia, unspecified"
1416,11285,Candidal enteritis,Candidal enteritis
10132,V4572,Acquire absnce intestine,Acquired absence of intestine (large) (small)
12961,7271,Bunion,Bunion
10006,73342,Aseptic necrosis femur,Aseptic necrosis of head and neck of femur
13231,99971,Rh incomp/HTR NEC,Rh incompatibility with hemolytic transfusion reaction not specified as acute or delayed
2259,25050,DMII ophth nt st uncntrl,"Diabetes with ophthalmic manifestations, type II or unspecified type, not stated as uncontrolled"
2007,1893,Malign neopl urethra,Malignant neoplasm of urethra
12339,9352,Foreign body in stomach,Foreign body in stomach
11482,E8156,Mv coll w obj-ped cycl,Other motor vehicle traffic accident involving collision on the highway injuring pedal cyclist
7772,83961,Dislocat sternum-closed,"Closed dislocation, sternum"
7337,74686,Congenital heart block,Congenital heart block
5612,6184,Utervaginal prolapse NOS,"Uterovaginal prolapse, unspecified"
1746,2380,Unc behav neo bone,Neoplasm of uncertain behavior of bone and articular cartilage
6031,53141,Chr stom ulc w hem-obstr,"Chronic or unspecified gastric ulcer with hemorrhage, with obstruction"
6155,55092,Bilat inguinal hernia,"Inguinal hernia, without mention of obstruction or gangrene, bilateral (not specified as recurrent)"
256,49,Shigellosis NOS,"Shigellosis, unspecified"
4454,4267,Anomalous av excitation,Anomalous atrioventricular excitation
998,622,East equine encephalitis,Eastern equine encephalitis
4526,38582,Cholesterin granuloma,Cholesterin granuloma of middle ear and mastoid
8612,7149,Inflamm polyarthrop NOS,Unspecified inflammatory polyarthropathy
10749,E9102,Swimming accident NOS,Accidental drowning and submersion while engaged in other sport or recreational activity without diving equipment
7235,75537,Longitudin defic fibula,"Longitudinal deficiency, fibular, complete or partial (with or without distal deficiencies, incomplete)"
9926,E9479,Adv eff medicinal NOS,Unspecified drug or medicinal substance causing adverse effects in therapeutic use
8982,78062,Postprocedural fever,Postprocedural fever
9079,80350,Open skull fracture NEC,"Other open skull fracture without mention of injury, unspecified state of consciousness"
1252,1714,Mal neo soft tis thorax,Malignant neoplasm of connective and other soft tissue of thorax
7932,7634,Cesarean delivery aff NB,Cesarean delivery affecting fetus or newborn
10391,90210,Inj infer vena cava NOS,"Injury to inferior vena cava, unspecified"
12133,78321,Abnormal loss of weight,Loss of weight
7309,74512,Correct transpos grt ves,Corrected transposition of great vessels
6188,60783,Edema of penis,Edema of penis
11351,9685,Surfce-topic/infilt anes,Surface (topical) and infiltration anesthetics
4913,37923,Vitreous hemorrhage,Vitreous hemorrhage
11857,74363,Spec anom of eyelid NEC,Other specified congenital anomalies of eyelid
6232,6119,Breast disorder NOS,Unspecified breast disorder
11406,99594,SIRS-noninf w ac org dys,Systemic inflammatory response syndrome due to noninfectious process with acute organ dysfunction
1286,17342,Sqam cell ca sclp/skn nk,Squamous cell carcinoma of scalp and skin of neck
10642,7354,Other hammer toe,Other hammer toe (acquired)
13277,80610,C1-c4 fx-op/cord inj NOS,Open fracture of C1-C4 level with unspecified spinal cord injury
7282,6825,Cellulitis of buttock,Cellulitis and abscess of buttock
9495,9555,Inj cutan senso nerv/arm,"Injury to cutaneous sensory nerve, upper limb"
2110,20028,Burkitt's tumor mult,"Burkitt's tumor or lymphoma, lymph nodes of multiple sites"
2129,20050,Primary CNS lymph xtrndl,"Primary central nervous system lymphoma, unspecified site, extranodal and solid organ sites"
4303,4011,Benign hypertension,Benign essential hypertension
3365,33390,Extrapyramidal dis NOS,Unspecified extrapyramidal disease and abnormal movement disorder
2887,30480,Comb drug dep NEC-unspec,"Combinations of drug dependence excluding opioid type drug, unspecified"
13016,7868,Hiccough,Hiccough
11372,9248,Multiple contusions NEC,"Contusion of multiple sites, not elsewhere classified"
10285,81103,"Fx scap, glen cav/nck-cl",Closed fracture of glenoid cavity and neck of scapula
9127,85216,Op subarach hem-coma NOS,"Subarachnoid hemorrhage following injury with open intracranial wound, with loss of consciousness of unspecified duration"
8799,85100,Cerebral cortx contusion,"Cortex (cerebral) contusion without mention of open intracranial wound, unspecified state of consciousness"
12803,V5873,Aft surg circ syst NEC,"Aftercare following surgery of the circulatory system, NEC"
11459,E8133,Mv-oth veh coll-mcyc psg,Motor vehicle traffic accident involving collision with other vehicle injuring passenger on motorcycle
5218,52342,"Chron periodontitis,gen","Chronic periodontitis, generalized"
12166,V0253,Meth susc Staph carrier,Carrier or suspected carrier of Methicillin susceptible Staphylococcus aureus
4313,40310,Ben hy kid w cr kid I-IV,"Hypertensive chronic kidney disease, benign, with chronic kidney disease stage I through stage IV, or unspecified"
3619,33189,Cereb degeneration NEC,Other cerebral degeneration
4213,44101,Dsct of thoracic aorta,"Dissection of aorta, thoracic"
11637,99678,Comp-oth int ortho devic,"Other complications due to other internal orthopedic device, implant, and graft"
1731,23691,Unc behav neo kidney,Neoplasm of uncertain behavior of kidney and ureter
13829,72999,Soft tissue disorder NEC,Other disorders of soft tissue
493,4111,Mth sus Stph aur els/NOS,Methicillin susceptible Staphylococcus aureus in conditions classified elsewhere and of unspecified site
5861,5770,Acute pancreatitis,Acute pancreatitis
2416,2120,Ben neo nasal cav/sinus,"Benign neoplasm of nasal cavities, middle ear, and accessory sinuses"
11322,96502,Poisoning-methadone,Poisoning by methadone
9424,80859,Pelvic fracture NEC-open,Open fracture of other specified part of pelvis
7211,75501,"Polydactyly, fingers",Polydactyly of fingers
13425,E8785,Abn react-limb amputat,"Amputation of limb(s) causing abnormal patient reaction, or later complication, without mention of misadventure at time of operation"
14228,87363,Broken tooth-uncomplic,"Open wound of tooth (broken) (fractured) (due to trauma), without mention of complication"
13908,V1069,Hx of leukemia NEC,Personal history of other leukemia
9241,7750,Infant diabet mother syn,"Syndrome of ""infant of a diabetic mother"""
12247,9063,Late effect of contusion,Late effect of contusion
12409,7847,Epistaxis,Epistaxis
1663,2682,Osteomalacia NOS,"Osteomalacia, unspecified"
6183,6071,Balanoposthitis,Balanoposthitis
12060,7200,Ankylosing spondylitis,Ankylosing spondylitis
4479,42830,Diastolc hrt failure NOS,"Diastolic heart failure, unspecified"
12137,78341,Failure to thrive-child,Failure to thrive
12039,V553,Atten to colostomy,Attention to colostomy
13595,95204,C1-c4 spin cord inj NEC,C1-C4 level with other specified spinal cord injury
900,1363,Pneumocystosis,Pneumocystosis
8031,80061,Opn skul vlt fx w/o coma,"Open fracture of vault of skull with cerebral laceration and contusion, with no loss of consciousness"
8939,7788,NB integument cond NEC,Other specified conditions involving the integument of fetus and newborn
5427,46430,Ac epiglottitis no obstr,Acute epiglottitis without mention of obstruction
8980,78060,Fever NOS,"Fever, unspecified"
3545,3824,Suppur otitis media NOS,Unspecified suppurative otitis media
5345,45371,Ch emblsm suprfcl up ext,Chronic venous embolism and thrombosis of superficial veins of upper extremity
1321,1622,Malig neo main bronchus,Malignant neoplasm of main bronchus
2195,27900,Hypogammaglobulinem NOS,"Hypogammaglobulinemia, unspecified"
7308,74511,Double outlet rt ventric,Double outlet right ventricle
8587,86101,Heart contusion-closed,Contusion of heart without mention of open wound into thorax
3472,34404,"Quadrplg c5-c7, incomplt","Quadriplegia, C5-C7, incomplete"
5975,5279,Salivary gland dis NOS,Unspecified disease of the salivary glands
6008,5303,Esophageal stricture,Stricture and stenosis of esophagus
2697,30301,Ac alcohol intox-contin,"Acute alcoholic intoxication in alcoholism, continuous"
2661,30151,Chr factitious illness,Chronic factitious illness with physical symptoms
1600,25021,DMI hprsm nt st uncntrld,"Diabetes with hyperosmolarity, type I [juvenile type], not stated as uncontrolled"
4472,4279,Cardiac dysrhythmia NOS,"Cardiac dysrhythmia, unspecified"
1446,11599,Histoplasmosis NEC,"Histoplasmosis, unspecified, other"
8232,75689,Soft tissue anomaly NEC,"Other specified anomalies of muscle, tendon, fascia, and connective tissue"
10256,8678,Pelvic organ inj NOS-cl,"Injury to unspecified pelvic organ, without mention of open wound into cavity"
914,1400,Mal neo upper vermilion,"Malignant neoplasm of upper lip, vermilion border"
8558,80230,Mandible fx NOS-open,"Open fracture of mandible, unspecified site"
5834,57460,Gall&bil cal w/ac w/o ob,"Calculus of gallbladder and bile duct with acute cholecystitis, without mention of obstruction"
6889,81613,"Fx mult phalan, hand-opn",Open fracture of multiple sites of phalanx or phalanges of hand
2781,27549,Dis calcium metablsm NEC,Other disorders of calcium metabolism
12436,80500,Fx cervical vert NOS-cl,"Closed fracture of cervical vertebra, unspecified level"
