,icd9_code,diagnoses_short_title,diagnoses_long_title,procedure_short_title,procedure_long_title
23,1429,Mal neo salivary NOS,"Malignant neoplasm of salivary gland, unspecified",Chorioret les destr NEC,Other destruction of chorioretinal lesion
24,1431,Malig neo lower gum,Malignant neoplasm of lower gum,Retinal tear diathermy,Repair of retinal tear by diathermy
25,1439,Malig neo gum NOS,"Malignant neoplasm of gum, unspecified",Retinal tear repair NEC,Other repair of retinal tear
26,1441,Mal neo lat floor mouth,Malignant neoplasm of lateral portion of floor of mouth,Scleral buckle w implant,Scleral buckling with implant
27,1449,Mal neo mouth floor NOS,"Malignant neoplasm of floor of mouth, part unspecified",Scleral buckling NEC,Other scleral buckling
28,1451,Mal neo mouth vestibule,Malignant neoplasm of vestibule of mouth,Detach retina-diathermy,Repair of retinal detachment with diathermy
29,1452,Malig neo hard palate,Malignant neoplasm of hard palate,Detach retina-cryotherap,Repair of retinal detachment with cryotherapy
30,1453,Malig neo soft palate,Malignant neoplasm of soft palate,Detach retina xenon coag,Repair of retinal detachment with xenon arc photocoagulation
31,1454,Malignant neoplasm uvula,Malignant neoplasm of uvula,Detach retina laser coag,Repair of retinal detachment with laser photocoagulation
32,1455,Malignant neo palate NOS,"Malignant neoplasm of palate, unspecified",Detach ret photocoag NOS,Repair of retinal detachment with photocoagulation of unspecified type
33,1459,Malig neoplasm mouth NOS,"Malignant neoplasm of mouth, unspecified",Repair retina detach NEC,Other repair of retinal detachment
34,1471,Mal neo post nasopharynx,Malignant neoplasm of posterior wall of nasopharynx,Anterior remov vitreous,"Removal of vitreous, anterior approach"
35,1472,Mal neo lat nasopharynx,Malignant neoplasm of lateral wall of nasopharynx,Vitreous removal NEC,Other removal of vitreous
36,1473,Mal neo ant nasopharynx,Malignant neoplasm of anterior wall of nasopharynx,Anterior mechan vitrect,Mechanical vitrectomy by anterior approach
37,1479,Mal neo nasopharynx NOS,"Malignant neoplasm of nasopharynx, unspecified site",Vitreous operation NEC,Other operations on vitreous
38,1481,Mal neo pyriform sinus,Malignant neoplasm of pyriform sinus,Imp epiretinal prosth,Implantation of epiretinal visual prosthesis
39,1482,Mal neo aryepiglott fold,"Malignant neoplasm of aryepiglottic fold, hypopharyngeal aspect",Rem epiretinal prosth,Removal of epiretinal visual prosthesis
40,1483,Mal neo post hypopharynx,Malignant neoplasm of posterior hypopharyngeal wall,Rev/repl epiretinal pros,Revision or replacement of epiretinal visual prosthesis
41,1501,Mal neo thoracic esophag,Malignant neoplasm of thoracic esophagus,Extraoc musc-tend biopsy,Biopsy of extraocular muscle or tendon
42,1509,Mal neo esophagus NOS,"Malignant neoplasm of esophagus, unspecified site",Extraoc musc dx proc NEC,Other diagnostic procedures on extraocular muscles and tendons
43,1511,Malignant neo pylorus,Malignant neoplasm of pylorus,One extraoc mus recess,Recession of one extraocular muscle
44,1512,Mal neo pyloric antrum,Malignant neoplasm of pyloric antrum,1 extraoc muscl advance,Advancement of one extraocular muscle
45,1513,Mal neo stomach fundus,Malignant neoplasm of fundus of stomach,1 extraoc muscl resect,Resection of one extraocular muscle
46,1519,Malig neopl stomach NOS,"Malignant neoplasm of stomach, unspecified site",Xtraoc mus op/detach NEC,Other operations on one extraocular muscle involving temporary detachment from globe
47,1521,Malignant neopl jejunum,Malignant neoplasm of jejunum,Lengthen 1 extraoc musc,Lengthening procedure on one extraocular muscle
48,1522,Malignant neoplasm ileum,Malignant neoplasm of ileum,Shorten 1 extraoc musc,Shortening procedure on one extraocular muscle
49,1529,Mal neo small bowel NOS,"Malignant neoplasm of small intestine, unspecified site",Op on 1 extraoc musc NEC,Other operations on one extraocular muscle
50,1712,Mal neo soft tissue arm,"Malignant neoplasm of connective and other soft tissue of upper limb, including shoulder",Lap indir ing hern-graft,Laparoscopic repair of indirect inguinal hernia with graft or prosthesis
51,1713,Mal neo soft tissue leg,"Malignant neoplasm of connective and other soft tissue of lower limb, including hip",Lap ing hern-graft NOS,"Laparoscopic repair of inguinal hernia with graft or prosthesis, not otherwise specified"
52,1721,Malig melanoma eyelid,"Malignant melanoma of skin of eyelid, including canthus",Lap bil dir ing hrn-grft,Laparoscopic bilateral repair of direct inguinal hernia with graft or prosthesis
53,1722,Malig melanoma ear,Malignant melanoma of skin of ear and external auditory canal,Lap bi indir ing hrn-grf,Laparoscopic bilateral repair of indirect inguinal hernia with graft or prosthesis
54,1723,Mal melanom face NEC/NOS,Malignant melanoma of skin of other and unspecified parts of face,Lap bi dr/ind ing hrn-gr,"Laparoscopic bilateral repair of inguinal hernia, one direct and one indirect, with graft or prosthesis"
55,1724,Mal melanoma scalp/neck,Malignant melanoma of skin of scalp and neck,Lap bil ing hern-grf NOS,"Laparoscopic bilateral repair of inguinal hernia with graft or prosthesis, not otherwise specified"
56,1601,Malig neo middle ear,"Malignant neoplasm of auditory tube, middle ear, and mastoid air cells",Orbitotomy w bone flap,Orbitotomy with bone flap
57,1602,Mal neo maxillary sinus,Malignant neoplasm of maxillary sinus,Orbitotomy w implant,Orbitotomy with insertion of orbital implant
58,1609,Mal neo access sinus NOS,"Malignant neoplasm of accessory sinus, unspecified",Orbitotomy NEC,Other orbitotomy
59,1622,Malig neo main bronchus,Malignant neoplasm of main bronchus,Diagnostic asp of orbit,Diagnostic aspiration of orbit
60,1623,Mal neo upper lobe lung,"Malignant neoplasm of upper lobe, bronchus or lung",Eyeball & orbit biopsy,Biopsy of eyeball and orbit
61,1629,Mal neo bronch/lung NOS,"Malignant neoplasm of bronchus and lung, unspecified",Eyebal/orbit dx proc NEC,Other diagnostic procedures on orbit and eyeball
62,1631,Mal neo visceral pleura,Malignant neoplasm of visceral pleura,Eye evisc w synch implan,Removal of ocular contents with synchronous implant into scleral shell
63,1639,Malig neopl pleura NOS,"Malignant neoplasm of pleura, unspecified",Eyeball evisceration NEC,Other evisceration of eyeball
64,1641,Malignant neopl heart,Malignant neoplasm of heart,Eye enuc/implan/musc att,Enucleation of eyeball with synchronous implant into Tenon's capsule with attachment of muscles
65,1642,Mal neo ant mediastinum,Malignant neoplasm of anterior mediastinum,Eye enuc w implant NEC,Enucleation of eyeball with other synchronous implant
66,1649,Mal neo mediastinum NOS,"Malignant neoplasm of mediastinum, part unspecified",Eyeball enucleation NEC,Other enucleation of eyeball
67,1659,Mal neo resp system NOS,Malignant neoplasm of ill-defined sites within the respiratory system,Orbital exenteration NEC,Other exenteration of orbit
68,101,Vincent's angina,Vincent's angina,Cisternal puncture,Cisternal puncture
69,101,Vincent's angina,Vincent's angina,Conjunctiva incision NEC,Other incision of conjunctiva
70,1021,Multiple papillomata,Multiple papillomata due to yaws and wet crab yaws,Conjunctival biopsy,Biopsy of conjunctiva
71,1029,Yaws NOS,"Yaws, unspecified",Conjunctiva dx proc NEC,Other diagnostic procedures on conjunctiva
72,1031,Pinta intermed lesions,Intermediate lesions of pinta,Excise conjunctiv lesion,Excision of lesion or tissue of conjunctiva
73,1032,Pinta late lesions,Late lesions of pinta,Destruct conjunc les NEC,Destruction of lesion of conjunctiva
74,1033,Pinta mixed lesions,Mixed lesions of pinta,Oth conjunc destruc proc,Other destructive procedures on conjunctiva
75,1049,Spirochetal infect NOS,"Spirochetal infection, unspecified",Conjunctivoplasty NEC,Other conjunctivoplasty
76,1121,Candidal vulvovaginitis,Candidiasis of vulva and vagina,Corneal scrape for smear,Scraping of cornea for smear or culture
77,1122,Candidias urogenital NEC,Candidiasis of other urogenital sites,Corneal biopsy,Biopsy of cornea
78,1129,Candidiasis site NOS,Candidiasis of unspecified site,Corneal dx proc NEC,Other diagnostic procedures on cornea
79,1141,Prim cutan coccidioid,Primary extrapulmonary coccidioidomycosis,Mech remov cornea epith,Mechanical removal of corneal epithelium
80,1142,Coccidioidal meningitis,Coccidioidal meningitis,Thermocaut cornea lesion,Thermocauterization of corneal lesion
81,1143,Progress coccidioid NEC,Other forms of progressive coccidioidomycosis,Cryotherap cornea lesion,Cryotherapy of corneal lesion
82,1149,Coccidioidomycosis NOS,"Coccidioidomycosis, unspecified",Destruct cornea les NEC,Other removal or destruction of corneal lesion
83,1160,Blastomycosis,Blastomycosis,Corneal transplant NOS,"Corneal transplant, not otherwise specified"
84,1161,Paracoccidioidomycosis,Paracoccidioidomycosis,Lam keratplast w autgrft,Lamellar keratoplasty with autograft
85,1162,Lobomycosis,Lobomycosis,Lamellar keratoplast NEC,Other lamellar keratoplasty
86,1171,Sporotrichosis,Sporotrichosis,Keratomileusis,Keratomileusis
87,1172,Chromoblastomycosis,Chromoblastomycosis,Keratophakia,Keratophakia
88,1173,Aspergillosis,Aspergillosis,Keratoprosthesis,Keratoprosthesis
89,1174,Mycotic mycetomas,Mycotic mycetomas,Thermokeratoplasty,Thermokeratoplasty
90,1175,Cryptococcosis,Cryptococcosis,Radial keratotomy,Radial keratotomy
91,1176,Allescheriosis,Allescheriosis [Petriellidosis],Epikeratophakia,Epikeratophakia
92,1179,Mycoses NEC & NOS,Other and unspecified mycoses,Cornea reconstruct NEC,Other reconstructive and refractive surgery on cornea
93,118,Opportunistic mycoses,Opportunistic mycoses,Other brain dx procedure,Other diagnostic procedures on brain and cerebral meninges
94,1200,Schistosoma haematobium,Schistosomiasis due to schistosoma haematobium,Remov ant segmnt FB NOS,"Removal of intraocular foreign body from anterior segment of eye, not otherwise specified"
95,1201,Schistosoma mansoni,Schistosomiasis due to schistosoma mansoni,Magnet remov ant seg FB,Removal of intraocular foreign body from anterior segment of eye with use of magnet
96,1202,Schistosoma japonicum,Schistosomiasis due to schistosoma japonicum,Nonmag remov ant seg FB,Removal of intraocular foreign body from anterior segment of eye without use of magnet
97,1211,Clonorchiasis,Clonorchiasis,Iridotomy w transfixion,Iridotomy with transfixion
98,1212,Paragonimiasis,Paragonimiasis,Iridotomy NEC,Other iridotomy
99,1213,Fascioliasis,Fascioliasis,Prolapsed iris excision,Excision of prolapsed iris
100,1214,Fasciolopsiasis,Fasciolopsiasis,Iridectomy NEC,Other iridectomy
101,1221,Echinococc granul lung,Echinococcus granulosus infection of lung,Dx aspirat-ant chamber,Diagnostic aspiration of anterior chamber of eye
102,1222,Echinococc gran thyroid,Echinococcus granulosus infection of thyroid,Iris biopsy,Biopsy of iris
103,1229,Echinococcosis NEC/NOS,"Echinococcosis, other and unspecified",Ant segment dx proc NEC,"Other diagnostic procedures on iris, ciliary body, sclera, and anterior chamber"
104,1231,Cysticercosis,Cysticercosis,Goniosynechiae lysis,Lysis of goniosynechiae
105,1232,Taenia saginata infect,Taenia saginata infection,Ant synechia lysis NEC,Lysis of other anterior synechiae
106,1233,Taeniasis NOS,"Taeniasis, unspecified",Post synechiae lysis,Lysis of posterior synechiae
107,1234,Diphyllobothrias intest,"Diphyllobothriasis, intestinal",Corneovitreal adhesiolys,Lysis of corneovitreal adhesions
108,1235,Sparganosis,Sparganosis [larval diphyllobothriasis],Coreoplasty,Coreoplasty
109,1239,Cestode infection NOS,"Cestode infection, unspecified",Iridoplasty NEC,Other iridoplasty
110,124,Trichinosis,Trichinosis,Other craniotomy,Other craniotomy
111,1251,Malayan filariasis,Malayan filariasis,Goniopuncture,Goniopuncture without goniotomy
112,1252,Loiasis,Loiasis,Goniotomy,Goniotomy without goniopuncture
113,1253,Onchocerciasis,Onchocerciasis,Goniotomy w goniopunctur,Goniotomy with goniopuncture
114,1254,Dipetalonemiasis,Dipetalonemiasis,Trabeculotomy ab externo,Trabeculotomy ab externo
115,1255,Mansonella ozzardi infec,Mansonella ozzardi infection,Cyclodialysis,Cyclodialysis
116,1259,Filariasis NOS,Unspecified filariasis,Facilit intraoc circ NEC,Other facilitation of intraocular circulation
117,1261,Necator Americanus,Necatoriasis due to necator americanus,Trephin sclera w iridect,Trephination of sclera with iridectomy
118,1262,Ancylostoma braziliense,Ancylostomiasis due to ancylostoma braziliense,Thermcaut scler w iridec,Thermocauterization of sclera with iridectomy
119,1263,Ancylostoma ceylanicum,Ancylostomiasis due to ancylostoma ceylanicum,Iridencleisis/iridotasis,Iridencleisis and iridotasis
120,1269,Ancylostomiasis NOS,"Ancylostomiasis and necatoriasis, unspecified",Scler fistulizing op NEC,Other scleral fistulizing procedure
121,1271,Anisakiasis,Anisakiasis,Cyclodiathermy,Cyclodiathermy
122,1272,Strongyloidiasis,Strongyloidiasis,Cyclocryotherapy,Cyclocryotherapy
123,1273,Trichuriasis,Trichuriasis,Cyclophotocoagulation,Cyclophotocoagulation
124,1274,Enterobiasis,Enterobiasis,Cil body diminution NOS,"Diminution of ciliary body, not otherwise specified"
125,1279,Intest helminthiasis NOS,"Intestinal helminthiasis, unspecified",Glaucoma procedure NEC,Other glaucoma procedures
126,1281,Gnathostomiasis,Gnathostomiasis,Suture scleral lacer,Suture of laceration of sclera
127,1288,Helminthiasis NEC,Other specified helminthiasis,Sclera reinforcement NEC,Other scleral reinforcement
128,2559,Adrenal disorder NOS,Unspecified disorder of adrenal glands,Repair of tongue NEC,Other repair and plastic operations on tongue
129,2591,Sexual precocity NEC,"Precocious sexual development and puberty, not elsewhere classified",Lingual frenotomy,Lingual frenotomy
130,2592,Carcinoid syndrome,Carcinoid syndrome,Lingual frenectomy,Lingual frenectomy
131,2593,Ectopic hormone secr NEC,"Ectopic hormone secretion, not elsewhere classified",Lysis of tongue adhesion,Lysis of adhesions of tongue
132,2594,Dwarfism NEC,"Dwarfism, not elsewhere classified",Other glossotomy,Other glossotomy
133,2599,Endocrine disorder NOS,Unspecified endocrine disorder,Tongue operation NEC,Other operations on tongue
134,260,Kwashiorkor,Kwashiorkor,Incis salivary glnd/duct,Incision of salivary gland or duct
135,2630,Malnutrition mod degree,Malnutrition of moderate degree,Sialoadenectomy NOS,"Sialoadenectomy, not otherwise specified"
136,2631,Malnutrition mild degree,Malnutrition of mild degree,Partial sialoadenectomy,Partial sialoadenectomy
137,2632,Arrest devel d/t malnutr,Arrested development following protein-calorie malnutrition,Complete sialoadenectomy,Complete sialoadenectomy
138,2641,Vit A bitot's spot,Vitamin A deficiency with conjunctival xerosis and Bitot's spot,Suture of saliv glnd lac,Suture of laceration of salivary gland
139,2642,Vit A corneal xerosis,Vitamin A deficiency with corneal xerosis,Salivary fistula closure,Closure of salivary fistula
140,2649,Vitamin A deficiency NOS,Unspecified vitamin A deficiency,Salivary repair NEC,Other repair and plastic operations on salivary gland or duct
141,2691,Vitamin Deficiency NEC,Deficiency of other vitamins,Salivary duct probing,Probing of salivary duct
142,2699,Nutrition deficiency NOS,Unspecified nutritional deficiency,Salivary operation NEC,Other operations on salivary gland or duct
143,2370,Unc behav neo pituitary,Neoplasm of uncertain behavior of pituitary gland and craniopharyngeal duct,Root canal NOS,"Root canal, not otherwise specified"
144,2371,Unc behav neo pineal,Neoplasm of uncertain behavior of pineal gland,Root canal w irrigation,Root canal therapy with irrigation
145,2372,Unc behav neo adrenal,Neoplasm of uncertain behavior of adrenal gland,Root canal w apicoectomy,Root canal therapy with apicoectomy
146,2373,Unc behav neo paragang,Neoplasm of uncertain behavior of paraganglia,Apicoectomy,Apicoectomy
147,2411,Nontox multinodul goiter,Nontoxic multinodular goiter,Gum biopsy,Biopsy of gum
148,2419,Nontox nodul goiter NOS,Unspecified nontoxic nodular goiter,Tooth & gum dx proc NEC,"Other diagnostic procedures on teeth, gums, and alveoli"
149,243,Congenital hypothyroidsm,Congenital hypothyroidism,Remove ventricle shunt,Removal of ventricular shunt
150,1741,Mal neo breast-central,Malignant neoplasm of central portion of female breast,Open robotic assist proc,Open robotic assisted procedure
151,1742,Mal neo breast up-inner,Malignant neoplasm of upper-inner quadrant of female breast,Lap robotic assist proc,Laparoscopic robotic assisted procedure
152,1743,Mal neo breast low-inner,Malignant neoplasm of lower-inner quadrant of female breast,Perc robotic assist proc,Percutaneous robotic assisted procedure
153,1744,Mal neo breast up-outer,Malignant neoplasm of upper-outer quadrant of female breast,Endo robotic assist proc,Endoscopic robotic assisted procedure
154,1745,Mal neo breast low-outer,Malignant neoplasm of lower-outer quadrant of female breast,Thoraco robotic ast proc,Thoracoscopic robotic assisted procedure
155,1749,Malign neopl breast NOS,"Malignant neoplasm of breast (female), unspecified",Robotic ast proc NEC/NOS,Other and unspecified robotic assisted procedure
156,1761,Sft tisue - kpsi's srcma,"Kaposi's sarcoma, soft tissue","LITT lesn brain,guidance",Laser interstitial thermal therapy [LITT] of lesion or tissue of brain under guidance
157,1762,Palate - kpsi's sarcoma,"Kaposi's sarcoma, palate","LITT les hd/nck,guidance",Laser interstitial thermal therapy [LITT] of lesion or tissue of head and neck under guidance
158,1763,GI sites - kpsi's srcoma,"Kaposi's sarcoma, gastrointestinal sites","LITT lesn liver,guidance",Laser interstitial thermal therapy [LITT] of lesion or tissue of liver under guidance
159,1769,Kaposi's sarcoma NOS,"Kaposi's sarcoma, unspecified site","LITT lesn, guide oth/NOS",Laser interstitial thermal therapy [LITT] of lesion or tissue of other and unspecified site under guidance
160,1801,Malig neo exocervix,Malignant neoplasm of exocervix,Piercing of ear lobe,Piercing of ear lobe
161,1809,Mal neo cervix uteri NOS,"Malignant neoplasm of cervix uteri, unspecified site",External ear incis NEC,Other incision of external ear
162,1821,Mal neo uterine isthmus,Malignant neoplasm of isthmus,Preauricular sinus excis,Excision of preauricular sinus
163,1839,Mal neo adnexa NOS,"Malignant neoplasm of uterine adnexa, unspecified site",Excis external ear NEC,Other excision of external ear
164,185,Malign neopl prostate,Malignant neoplasm of prostate,Correction prominent ear,Surgical correction of prominent ear
165,1871,Malign neopl prepuce,Malignant neoplasm of prepuce,Construction ear auricle,Construction of auricle of ear
166,1872,Malig neo glans penis,Malignant neoplasm of glans penis,Reattach amputated ear,Reattachment of amputated ear
167,1879,Mal neo male genital NOS,"Malignant neoplasm of male genital organ, site unspecified",Plastic rep ext ear NEC,Other plastic repair of external ear
168,1911,Malig neo frontal lobe,Malignant neoplasm of frontal lobe,Stapedect w replac incus,Stapedectomy with incus replacement
169,1919,Malig neo brain NOS,"Malignant neoplasm of brain, unspecified",Stapedectomy NEC,Other stapedectomy
170,1921,Mal neo cerebral mening,Malignant neoplasm of cerebral meninges,Rev stapdec w incus repl,Revision of stapedectomy with incus replacement
171,1929,Mal neo nervous syst NOS,"Malignant neoplasm of nervous system, part unspecified",Stapedectomy revis NEC,Other revision of stapedectomy
172,193,Malign neopl thyroid,Malignant neoplasm of thyroid gland,Ossicular chain op NEC,Other operations on ossicular chain
173,1952,Malig neo abdomen,Malignant neoplasm of abdomen,Type 2 tympanoplasty,Type II tympanoplasty
174,1953,Malign neopl pelvis,Malignant neoplasm of pelvis,Type 3 tympanoplasty,Type III tympanoplasty
175,1954,Malign neopl arm,Malignant neoplasm of upper limb,Type 4 tympanoplasty,Type IV tympanoplasty
176,1955,Malign neopl leg,Malignant neoplasm of lower limb,Type 5 tympanoplasty,Type V tympanoplasty
177,2764,Mixed acid-base bal dis,Mixed acid-base balance disorder,Insert palatal implant,Insertion of palatal implant
178,2769,Electrolyt/fluid dis NEC,Electrolyte and fluid disorders not elsewhere classified,Oth plastic repair palat,Other plastic repair of palate
179,2771,Dis porphyrin metabolism,Disorders of porphyrin metabolism,Incision of uvula,Incision of uvula
180,2772,Purine/pyrimid dis NEC,Other disorders of purine and pyrimidine metabolism,Excision of uvula,Excision of uvula
181,2779,Metabolism disorder NOS,Unspecified disorder of metabolism,Other uvula operations,Other operations on uvula
182,2792,Combined immunity defic,Combined immunity deficiency,Mouth incision NOS,"Incision of mouth, unspecified structure"
183,2799,Immune mechanism dis NOS,Unspecified disorder of immune mechanism,Oral cavity ops NEC,Other operations on oral cavity
184,2811,B12 defic anemia NEC,Other vitamin B12 deficiency anemia,Tonsil&adenoid biopsy,Biopsy of tonsils and adenoids
185,2819,Deficiency anemia NOS,Unspecified deficiency anemia,Tonsil&adenoid dx op NEC,Other diagnostic procedures on tonsils and adenoids
186,2100,Benign neoplasm lip,Benign neoplasm of lip,Control of epistaxis NOS,"Control of epistaxis, not otherwise specified"
187,2101,Benign neoplasm tongue,Benign neoplasm of tongue,Ant nasal pack for epist,Control of epistaxis by anterior nasal packing
188,2102,Ben neo major salivary,Benign neoplasm of major salivary glands,Post nasal pac for epist,Control of epistaxis by posterior (and anterior) packing
189,2103,Benign neo mouth floor,Benign neoplasm of floor of mouth,Cautery to stop epistax,Control of epistaxis by cauterization (and packing)
190,2104,Benign neo mouth NEC/NOS,Benign neoplasm of other and unspecified parts of mouth,Ethmoid art ligat-epist,Control of epistaxis by ligation of ethmoidal arteries
191,2105,Benign neoplasm tonsil,Benign neoplasm of tonsil,Max art lig for epistax,Control of epistaxis by (transantral) ligation of the maxillary artery
192,2106,Benign neo oropharyn NEC,Benign neoplasm of other parts of oropharynx,Ext carot art lig-epist,Control of epistaxis by ligation of the external carotid artery
193,2107,Benign neo nasopharynx,Benign neoplasm of nasopharynx,Nasal sept grft-epistax,Control of epistaxis by excision of nasal mucosa and skin grafting of septum and lateral nasal wall
194,2109,Benign neo pharynx NOS,"Benign neoplasm of pharynx, unspecified",Epistaxis control NEC,Control of epistaxis by other means
195,2121,Benign neo larynx,Benign neoplasm of larynx,Rhinoscopy,Rhinoscopy
196,2122,Benign neo trachea,Benign neoplasm of trachea,Nasal biopsy,Biopsy of nose
197,2129,Benign neo resp sys NOS,"Benign neoplasm of respiratory and intrathoracic organs, site unspecified",Nasal dx proc NEC,Other diagnostic procedures on nose
198,2130,Ben neo skull/face bone,Benign neoplasm of bones of skull and face,Nasal lesion excis NOS,"Excision or destruction of lesion of nose, not otherwise specified"
199,2131,Ben neo lower jaw bone,Benign neoplasm of lower jaw bone,Intranas les destruction,Local excision or destruction of intranasal lesion
200,2132,Benign neo vertebrae,"Benign neoplasm of vertebral column, excluding sacrum and coccyx",Nasal les destruct NEC,Local excision or destruction of other lesion of nose
201,2161,Benign neo skin eyelid,"Benign neoplasm of eyelid, including canthus",Diather/cryo turbinectom,Turbinectomy by diathermy or cryosurgery
202,2162,Benign neo skin ear,Benign neoplasm of ear and external auditory canal,Turbinate fracture,Fracture of the turbinates
203,2169,Benign neoplasm skin NOS,"Benign neoplasm of skin, site unspecified",Turbinectomy NEC,Other turbinectomy
204,2181,Intramural leiomyoma,Intramural leiomyoma of uterus,Nasal laceration suture,Suture of laceration of nose
205,2182,Subserous leiomyoma,Subserous leiomyoma of uterus,Nasal fistula closure,Closure of nasal fistula
206,2189,Uterine leiomyoma NOS,"Leiomyoma of uterus, unspecified",Nasal repair NEC,Other repair and plastic operations on nose
207,2191,Benign neo corpus uteri,Benign neoplasm of corpus uteri,Lysis of nasal adhesions,Lysis of adhesions of nose
208,2199,Benign neo uterus NOS,"Benign neoplasm of uterus, part unspecified",Nasal operation NEC,Other operations on nose
209,2211,Benign neoplasm vagina,Benign neoplasm of vagina,Closed nasal sinus bx,Closed [endoscopic] [needle] biopsy of nasal sinus
210,2212,Benign neoplasm vulva,Benign neoplasm of vulva,Open biopsy nasal sinus,Open biopsy of nasal sinus
211,2219,Ben neo fem genital NOS,"Benign neoplasm of female genital organ, site unspecified",Nasal sinus dx proc NEC,Other diagnostic procedures on nasal sinuses
212,2231,Benign neo renal pelvis,Benign neoplasm of renal pelvis,Radical maxillary antrot,Radical maxillary antrotomy
213,2239,Benign neo urinary NOS,"Benign neoplasm of urinary organ, site unspecified",Ext maxillary antrot NEC,Other external maxillary antrotomy
214,2241,Benign neoplasm orbit,Benign neoplasm of orbit,Frontal sinusotomy,Frontal sinusotomy
215,2242,Ben neo lacrimal gland,Benign neoplasm of lacrimal gland,Frontal sinusectomy,Frontal sinusectomy
216,2250,Benign neoplasm brain,Benign neoplasm of brain,Sinusotomy NOS,"Sinusotomy, not otherwise specified"
217,2251,Benign neo cranial nerve,Benign neoplasm of cranial nerves,Ethmoidotomy,Ethmoidotomy
218,2252,Ben neo cerebr meninges,Benign neoplasm of cerebral meninges,Sphenoidotomy,Sphenoidotomy
219,2253,Benign neo spinal cord,Benign neoplasm of spinal cord,Multiple sinus incision,Incision of multiple nasal sinuses
220,2271,Benign neo parathyroid,Benign neoplasm of parathyroid gland,Nasal sinus fistula clos,Closure of nasal sinus fistula
221,2279,Benign neo endocrine NOS,"Benign neoplasm of endocrine gland, site unspecified",Nasal sinus repair NEC,Other repair of nasal sinus
222,2301,Ca in situ esophagus,Carcinoma in situ of esophagus,Deciduous tooth extract,Extraction of deciduous tooth
223,2309,Ca in situ GI NEC/NOS,Carcinoma in situ of other and unspecified digestive organs,Tooth extraction NEC,Extraction of other tooth
224,2311,Ca in situ trachea,Carcinoma in situ of trachea,Residual root removal,Removal of residual root
225,2319,Ca in situ resp sys NOS,"Carcinoma in situ of respiratory system, part unspecified",Surg tooth extract NEC,Other surgical extraction of tooth
226,2349,Ca in situ NOS,"Carcinoma in situ, site unspecified",Dental restoration NEC,Other dental restoration
